Type,FMQ,P,Ti,Y,Nb,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Hf,Ta,Pb,Th,U,Ce_div_Ce_asterisk,Eu_div_Eu_asterisk,Th_div_U,U_div_Yb
2,0.15,161,4.2,909.95,0.91,0.79,11.3,0.67,7.3,5.99,3.83,25.9,7.86,90.9,32.8,137.1,29.53,279.5,49.6,10980,0.6,,74.4,184.8,15.53,0.31,0.4,0.66
2,-2.23,111.6,31.9,708.95,0.63,0.86,8.26,0.53,4.07,4.21,1.61,19.6,5.95,65.8,23.9,102.7,23.7,229.3,44.7,9760,0.53,,98.4,201,12.2,0.18,0.49,0.88
2,-1.2,213,4.35,620.95,0.67,0,5.26,0.04,0.83,1.53,0.69,9.41,3.71,47.5,20.2,99,24.8,262,53,9440,0.55,,65,182.5,#NUM!,0.18,0.36,0.7
2,-2.04,178,6.37,534.95,0.66,0.22,4.41,0.19,1.78,1.85,0.98,9.99,3.46,43.3,17.51,85,20.82,223.2,48.6,9700,0.49,,92.5,229.4,21.61,0.23,0.4,1.03
2,-1.63,193,4.56,531.95,0.59,0.04,4.41,0.07,0.71,1.36,0.57,8.09,2.95,38.8,17.38,88.5,22.39,246.2,53,8950,0.55,,68.5,201.8,87.4,0.17,0.34,0.82
2,-0.24,427,12.41,3438.95,2.38,0.17,17.27,0.45,8.42,16.89,4.65,96.2,30,331,113.5,439,83.8,695,116.9,7760,1.08,,171.8,228.7,63.52,0.12,0.75,0.33
2,0.67,420,8.29,3733.95,3.07,0.38,27,0.64,9.91,19.12,4.78,104.1,32.54,352.5,121.9,476,92.5,765,126.8,8540,1.33,,221.2,292.7,54.77,0.11,0.76,0.38
2,-0.5,165.8,5.29,1208.95,0.94,0.45,10.26,0.57,6.09,7.65,2.77,31.9,9.94,112.5,40.8,175.9,38.11,360.2,70.06,9060,0.61,,154.3,256,20.29,0.18,0.6,0.71
2,-0.44,156.3,4.88,630.95,0.54,0.29,10.4,0.34,5.1,5.8,1.79,40.2,10.62,111,40.88,158.1,33.12,280.7,51.2,9760,0.49,,111.6,263.3,33.05,0.12,0.42,0.94
2,-0.77,260,5.8,791.95,0.96,0.13,7.78,0.14,1.99,2.53,1.13,13.42,4.93,62,25.7,122.3,30.9,318,63,8770,0.62,,72.2,183,57.28,0.19,0.39,0.58
